x, y, theta
0.0, 0.0, 0.0
8.3325842821663, 24.62860205494001, -35.21
16.21410897072759, 24.41353081363339, -27.117
55.24012433371723, 43.65735872590547, -49.23030000000002
45.53293318428737, 41.25518471296831, -44.53230000000001
42.67843805839099, 48.54054931738654, -49.55436000000002
39.07466785650515, 45.71100529333707, -43.14679600000002
40.72084417161357, 65.14623476516701, -40.59637560000002
50.16087566617572, 68.44559915572389, -34.12937560000003
91.73097448275989, 100.6317156760487, -56.19753852000004
103.7538365818975, 132.3483629546864, -66.84869237200004
143.7653686266493, 195.5071352313363, -82.31123084640005
169.0301965638003, 213.4941616127223, -93.90323084640006
212.2866647138293, 285.5539069221952, -118.3970770156801
222.2816861647334, 313.7622372491754, -120.4270770156801
191.3181388019301, 284.5523833352934, -112.5369693141121
196.3791875625025, 275.9276638938791, -115.7379693141121
154.5384086731516, 228.3198006601099, -94.09597545128966
187.9165561893902, 320.3555235544909, -125.9166680866766
186.8767827489116, 310.4097268949731, -128.7606680866766
251.8046141614023, 413.0413452666938, -171.1913685126795
241.8480394686264, 412.1104207868491, -174.1973685126796
275.9859544960325, 541.2786438994056, -176.7813685126796
302.9481860083979, 584.4249309463875, -178.3343685126796
441.0649758520584, 883.4625302847499, -268.7165527690194
714.937097467257, 1426.607152101232, -433.088884430431
724.6313914685024, 1429.060856202671, -433.494884430431
803.2300141851, 1562.836999798732, -435.542884430431
1517.635046389245, 2986.381954231425, -829.5910804178188
1525.488021105358, 2980.190767906648, -830.5050804178189
2599.949511350563, 5380.922585926051, -1416.533636710292
3124.856108697085, 6446.160591816533, -1702.223564052351
4062.301207621238, 8367.008774656854, -2045.698276862821
4060.130263030063, 8376.770280666792, -2047.359276862821
4461.255727488886, 9204.592779865015, -2254.401904549104
4915.486919604025, 10132.48838320006, -2481.635095004014
5410.777439451852, 11156.08124027784, -2730.961304504416
5419.031402058549, 11161.726778453, -2457.749974053975
4874.966979800209, 10054.29073954322, -2213.313276648577
5846.763136385746, 13058.04787965693, -2653.553131978293
4682.399652393892, 11745.20770747156, -2123.462505582634
4681.806681267829, 11755.1901112524, -2120.710505582634
4208.199009060194, 10586.8507677174, -1908.658355024371
4198.319316889974, 10585.30426113103, -1716.429019521934
4206.016282205323, 11636.81217792264, -1715.575019521934
3783.574376217863, 10464.32111463, -1542.66841756974
3773.82772038698, 10462.08444297007, -1541.92441756974
3404.38183127412, 9411.632663967723, -1387.021875812767
3397.009363522921, 9418.38889955106, -1247.11638823149
5443.847636535491, 15082.89358922882, -1993.005421170384
7607.409584602589, 21116.85133271805, -2788.612989638537
9136.65087315346, 25331.06779393808, -3345.511187566245
10956.31775784359, 35474.26836832089, -4013.855025079494
14230.26966141889, 46115.33735873523, -5215.957532603342
18486.76306026566, 59953.18738988923, -6779.148392384345
22185.62195204195, 71955.72995591359, -7455.65963162278
26623.85867229835, 86334.92761155075, -8946.409957947337
34598.10612316818, 112233.8801146212, -11630.78664533154
79576.9982218407, 269337.3539072201, -26749.93298426254
159164.6789092504, 538657.7996823918, -50824.28747009882
286478.5940360422, 969581.5570112773, -91483.29984617785
286488.3821420658, 1066541.965156937, -91482.64384617786
286495.2516248751, 1066549.232220026, -82333.76746156008
515690.8124463423, 1919770.629394451, -148199.5142308081
515682.2792818566, 2111753.427660885, -148198.2832308081
825107.6198286562, 3378804.554750098, -222296.1378462122
1237651.449222293, 5068195.634392934, -333443.6337693183
2103991.27902621, 8615927.37682885, -566854.5174078411
2314380.55356225, 9477525.004416336, -623539.8426486253
2545809.472509404, 11373023.32255494, -623539.3126486253
4327861.885038799, 19334130.32943705, -1060020.180502663
3895084.403058521, 19334127.79657969, -954017.6827523966
